target
40
50
45
20
20
4
40
8
12
50
15
30
35
52
23
0
5
9
8
12
2
15
57
40
20
26
0
20
35
4
20
18
18
53
25
11
16
10
23
23
22
7
10
15
9
26
10
13
31
13
15
15
16
15
7
2
15
30
30
16
8
30
56
2
30
22
45
50
35
16
40
35
17
4
18
12
17
19
19
30
5
10
14
12
26
5
21
16
8
30
25
10
19
5
12
8
30
20
19
12
20
4
18
25
25
16
14
37
28
40
32
21
50
16
50
18
17
12
30
11
28
12
33
17
22
4
1
18
35
19
11
40
15
20
10
4
10
16
24
16
8
15
14
41
35
22
28
20
50
21
44
50
50
50
14
43
15
8
4
52
40
40
0
50
13
17
30
35
50
50
30
16
11
4
14
5
12
13
9
11
40
30
6
16
10
25
15
25
39
32
30
45
53
35
50
50
26
30
12
8
9
10
22
20
40
30
30
30
35
30
35
45
25
1
30
19
14
10
3
20
34
25
30
15
30
17
22
14
6
4
7
11
40
3
15
4
25
20
5
25
23
11
14
10
24
17
3
21
20
3
23
30
22
39
19
24
7
5
25
39
30
25
3
8
30
17
15
23
21
30
48
3
0
23
21
13
40
25
40
11
47
50
30
50
50
50
30
20
20
5
11
25
11
23
20
20
40
5
35
21
18
27
22
36
20
9
27
40
40
8
16
40
40
12
21
20
35
37
45
4
35
7
13
15
43
30
4
50
19
25
11
48
2
10
4
15
35
40
25
30
25
2
50
35
30
2
2
19
19
40
9
15
16
27
16
19
28
5
14
35
20
26
30
25
7
9
30
25
30
12
30
26
9
6
11
18
30
10
25
22
9
21
30
15
25
26
25
30
18
36
29
40
25
23
8
30
19
20
19
0
14
14
20
20
9
12
0
4
28
29
35
40
15
20
18
26
20
23
30
18
16
1
12
15
30
40
13
30
24
40
12
35
40
20
6
8
10
28
17
5
2
16
13
12
11
20
10
4
13
12
25
20
8
9
30
30
15
13
16
35
6
40
3
1
25
15
0
20
2
30
7
25
50
40
30
3
5
10
10
50
36
25
16
3
20
19
15
8
7
5
15
4
6
14
2
21
10
8
9
25
9
20
30
9
0
35
21
4
25
18
25
25
26
20
18
10
25
31
20
23
25
7
4
15
20
15
15
11
8
20
24
30
25
16
20
15
10
20
35
35
45
17
25
20
30
14
20
5
26
40
20
7
31
20
50
20
20
27
24
55
50
8
50
13
45
50
45
40
53
25
30
30
6
15
12
20
30
26
30
0
6
3
25
8
35
50
31
52
21
6
4
40
22
30
10
0
27
20
20
25
40
26
8
39
20
40
30
15
40
50
3
35
20
40
11
2
12
13
10
23
16
30
30
30
15
18
3
50
18
26
30
5
0
14
3
0
25
10
15
15
9
8
6
31
12
35
10
40
20
4
22
20
10
5
23
10
9
30
8
15
5
40
30
25
30
20
15
10
38
18
28
32
30
18
23
19
8
15
5
30
20
45
25
15
13
0
28
40
10
8
20
4
20
25
26
40
0
12
30
4
38
20
30
40
10
25
30
14
5
11
6
0
12
12
15
30
35
40
40
40
30
40
25
8
0
26
17
30
55
55
35
22
30
28
22
10
15
42
12
45
15
10
20
20
30
20
18
11
11
14
10
40
29
16
15
15
18
6
0
15
15
25
18
28
12
40
20
40
30
13
28
15
30
31
26
21
4
25
28
15
20
6
12
20
39
10
9
2
4
15
20
16
12
15
30
0
7
5
4
4
25
39
30
28
1
0
1
15
0
5
18
12
18
12
6
15
12
17
0
0
1
14
13
0
10
15
20
12
7
13
10
17
7
14
6
3
11
18
0
6
17
10
18
12
12
16
17
18
7
4
16
19
12
6
15
45
15
0
17
8
17
12
30
19
20
9
37
50
25
15
30
30
23
16
13
16
3
35
30
15
20
15
24
7
19
9
13
25
20
0
5
25
9
16
20
28
7
0
14
13
15
32
10
12
10
13
30
30
22
20
15
0
50
20
8
0
0
20
22
10
10
12
25
30
17
35
6
25
20
35
13
25
5
16
1
11
20
12
0
20
40
40
16
12
14
13
10
5
16
15
40
20
30
40
15
30
10
17
16
16
7
15
14
30
40
12
10
30
11
16
5
40
50
3
3
3
20
0
8
15
15
12
20
50
0
10
3
3
20
18
0
12
4
15
20
20
3
10
17
7
2
34
20
30
30
9
5
3
20
19
19
20
7
5
8
7
0
13
50
