text,year,month,day,hour,minute,week_num,num_of_day,num_of_week
 @jirolian 仙台 19:30 40人くらい ,2015,11,11,19,38,3,315,45
 仙台 26人待ち17:28 @jirolian ,2015,11,11,17,28,3,315,45
 仙台 開店前8人待ち16:45 @jirolian ,2015,11,11,16,45,3,315,45
 @jirolian 仙台 待ち39人 ,2015,11,10,18,10,2,314,45
 @jirolian 仙台店 20人弱 今がチャンス！ ,2015,11,8,15,25,0,312,45
 @jirolian 仙台店19:30   40人位待ち ,2015,11,6,19,31,5,310,44
 @jirolian ラーメン二郎 仙台店 30人以上。学生の団体多い 1945 ,2015,11,5,19,46,4,309,44
 @jirolian 仙台店 16:43  15人待ち ,2015,10,31,16,44,6,304,43
 @jirolian 仙台店 不動産屋さんまで 豚切れ 食券機のお釣りレバー壊れてるそうです ,2015,10,31,12,0,6,304,43
 @jirolian 仙台店 開店前 23待ち ,2015,10,30,16,57,5,303,43
 @jirolian 仙台店 開店前 22待ち ,2015,10,30,11,29,5,303,43
 @jirolian 仙台店 20:45  まさかの閉店間際40人待ち ,2015,10,28,20,47,3,301,43
 @jirolian 仙台　68人　今日は風が強く寒いです ,2015,10,25,18,32,0,298,43
 @jirolian 仙台店 駐車場まで 1500 ,2015,10,25,15,0,0,298,43
 @jirolian 仙台 開店待ち50人 ,2015,10,22,17,3,4,295,42
 @jirolian 仙台店  17:07  3人待ち ,2015,10,14,17,7,3,287,41
 @jirolian 仙台店 18:00  待ち35人 ,2015,10,11,18,1,0,284,41
 @jirolian 仙台二郎列状況ください ,2015,10,7,18,14,3,280,40
 .@jirolian 仙台開店前20人待ち ,2015,10,7,16,53,3,280,40
 @jirolian 仙台店1135時点、４０人超。 ,2015,10,4,11,36,0,277,40
 @jirolian 仙台開店前、11人待ち。1100 ,2015,10,3,11,1,6,276,39
 @jirolian 仙台今何人くらいですか？ ,2015,10,2,12,19,5,275,39
 @jirolian 仙台店  14:20  並び2人 ,2015,10,1,14,21,4,274,39
 @jirolian 仙台店 開店前12人 1109 ,2015,9,30,11,9,3,273,39
 @jirolian 仙台二郎13人待ち ,2015,9,29,20,51,2,272,39
 @jirolian 仙台 アーケードじゃなくて不動産屋くらいまで外待ち ,2015,9,18,12,55,5,261,37
 @jirolian 仙台 1249 アーケードぐらいまで外待ち ,2015,9,18,12,49,5,261,37
 @jirolian 仙台店 10人ちょっと ,2015,9,13,16,18,0,256,37
 @jirolian 仙台 外待ち23人 2042 ,2015,9,11,20,43,5,254,36
 @jirolian 仙台店、券売機故障によりおつりが出しづらい状況。ある程度のおつりは用意しますが、できればあらかじめ小銭を用意してほしいとのこと。 メルマガより ,2015,9,7,14,42,1,250,36
 @jirolian 仙台店1351、待ち16人 ,2015,9,6,13,51,0,249,36
 @jirolian 仙台二郎待ち30名ほど。不動産屋の前まで。 ,2015,9,5,17,52,6,248,35
 @jirolian ラーメン二郎 仙台店 開店待ち 約15名 1045 ,2015,9,5,10,51,6,248,35
 @jirolian 仙台二郎開店待機30人強 1132 ,2015,9,4,11,32,5,247,35
 @jirolian 仙台 行列30人以上？ 宣告人に任命されました (^^;; ,2015,8,28,21,2,5,240,34
 @jirolian 仙台 開店待ち15人 1115 ,2015,8,28,11,15,5,240,34
 @jirolian 仙台20 つけ有 ,2015,8,27,12,51,4,239,34
 @jirolian 仙台 開店待ち 18人 1112 ,2015,8,27,11,13,4,239,34
 @jirolian #ラーメン二郎 #二郎行列チェッカー 仙台店 開店待ち 駐車場入口まで～ ,2015,8,25,11,9,2,237,34
 @jirolian #ラーメン二郎 #二郎行列チェッカー 仙台店 3人 開店待ち ,2015,8,25,10,48,2,237,34
 @jirolian 仙台店 不動産前 13:40 ,2015,8,22,13,41,6,234,33
 @jirolian 仙台50人over 1300 ,2015,8,21,12,59,5,233,33
 @jirolian 仙台　不動産屋の木まで並び　半袖だともう寒いっすね ,2015,8,20,18,6,4,232,33
 @jirolian 仙台 待ち18人 1257 ,2015,8,20,12,57,4,232,33
 @jirolian 仙台 信号前 ,2015,8,9,13,14,0,221,32
 @jirolian 仙台　　開店前　交差点超え ,2015,8,9,11,12,0,221,32
 @jirolian 仙台店開店前26人 ,2015,8,6,11,32,4,218,31
 @jirolian 仙台5 もちろん夜はつけめんしてません ,2015,8,4,17,46,2,216,31
 @jirolian 仙台二郎 外待ち30人くらい ,2015,8,2,18,1,0,214,31
 @jirolian 10:53 仙台二郎、開店前、5人 ,2015,7,29,10,53,3,210,30
 @jirolian 仙台 1855 待ちなし ,2015,7,26,19,12,0,207,30
 @jirolian 仙台空席多い(*_*; ,2015,7,21,13,15,2,202,29
 @jirolian 仙台5 つけめん無し(/_;) ,2015,7,21,12,45,2,202,29
 @jirolian #ラーメン二郎 #二郎行列チェッカー 仙台店 開店待ち～並びは不動産屋前！助手さん麺の大きさの確認♪ ,2015,7,21,11,29,2,202,29
 @jirolian #ラーメン二郎 #二郎行列チェッカー 仙台店 14人 開店待ち～！ ,2015,7,21,11,3,2,202,29
 @jirolian #ラーメン二郎 #二郎行列チェッカー 仙台店 3人 開店待ち～遠征麺活！ ,2015,7,21,10,23,2,202,29
 @jirolian 仙台　ほぼ待ち無し　土曜なのに珍しいっすね ,2015,7,18,13,12,6,199,28
 @jirolian ラーメン二郎仙台店。 すでに待ち25人以上(;ﾟдﾟ) ,2015,7,14,11,22,2,195,28
 @jirolian ラーメン二郎仙台店 開店前 不動産屋さんの横断歩道付近まで  めっちゃ暑い ,2015,7,11,11,11,6,192,27
 @jirolian 仙台 不動産屋のところまで並んでる1805 ,2015,7,7,18,5,2,188,27
 @jirolian 仙台の今の情報お願いします ,2015,7,3,12,8,5,184,26
 @jirolian 仙台店待ちは10人以上。初参戦楽しみです。 ,2015,7,3,11,19,5,184,26
 @jirolian 仙台 外待ち15人くらい ,2015,6,19,13,6,5,170,24
 @jirolian 仙台の情報お願いしますー ,2015,6,19,12,31,5,170,24
 @jirolian 仙台 開店待ち15人 1118 ,2015,6,18,11,18,4,169,24
 @jirolian 仙台 外待ち9人 1804 ,2015,6,4,18,4,4,155,22
 @jirolian 1805 仙台 外待ち8人 ,2015,5,27,18,5,3,147,21
 @jirolian 仙台 駐車場まで列あり ,2015,5,26,18,34,2,146,21
 @jirolian 1804 仙台 外待ち6人 ,2015,5,26,18,3,2,146,21
 @jirolian 仙台11:14晴れ オープン前31人 ,2015,5,24,11,15,0,144,21
 @jirolian 仙台  18:24  待ち12 ,2015,5,22,18,24,5,142,20
 @jirolian 仙台 35人 ,2015,5,17,18,56,0,137,20
 @jirolian 仙台 二郎 外並び10人 17:26現在 ,2015,5,14,17,26,4,134,19
 @jirolian 仙台店。只今、外待ち軽く見積もっても30位はいます。 ,2015,5,13,19,12,3,133,19
 @jirolian 仙台メルマガ配信なう、以下コピペ。麺と豚販売のお客様お待たせして申し訳ありません。麺と豚を持ち帰る袋をご持参下さいませ。価格は麺1玉100円豚肉値上がりの影響もありまして、今回は1本1200円でお願い致します。毎度バタバタしてすみません。 ,2015,5,6,13,59,3,126,18
 12:00 仙台店 40人強待ち G.W.だし天気良いし混んでます  @jirolian ,2015,5,3,12,2,0,123,18
 @jirolian 仙台二郎、我妻不動産前待ち ,2015,5,2,13,0,6,122,17
 @jirolian 仙台 ２０人位 １３２６ ,2015,5,1,13,26,5,121,17
 @jirolian 仙台たくさん並び過ぎ！不動産前の交差点にはみ出してた！ ,2015,4,25,19,29,6,115,16
 @jirolian 仙台 不動産屋横の横断歩道付近 1930 ,2015,4,21,19,37,2,111,16
 @jirolian 仙台 不動産屋の前まで ,2015,4,18,11,53,6,108,15
 @jirolian 仙台4人 ,2015,3,22,18,24,0,81,12
 @jirolian 仙台 22人待ち 11:13 ,2015,3,21,11,13,6,80,11
 @jirolian 仙台店20人待ち ,2015,3,15,11,7,0,74,11
 @jirolian 仙台 開店6分前 雪の降る中10人待ちだっちゃ ,2015,3,10,16,54,2,69,10
 @jirolian 仙台5人待ち17:25 ,2015,3,8,17,25,0,67,10
 @jirolian 仙台　外待ち２３　1510 ,2015,3,8,15,10,0,67,10
 @jirolian 仙台二郎 待ち10人くらい 1655 ,2015,3,6,16,55,5,65,9
 @jirolian 仙台9人。15:09。小雪舞ってます ,2015,2,15,15,9,0,46,7
 @jirolian 仙台店 18:10 30人くらい待ち 雪小降り ,2015,2,10,18,10,2,41,6
 @jirolian 仙台8人待ち ,2015,2,4,18,0,3,35,5
 @jirolian 14:10 仙台 15人待ち ,2015,1,24,14,12,6,24,3
 @jirolian 仙台4名待ちなう ,2015,1,18,15,46,0,18,3
 【ラーメン二郎三十九箇所巡り～三周目は逆巡礼その五仙台店-2】@jirolian 17:34現在、外待ち5人。 ,2015,1,13,17,34,2,13,2
 @jirolian 仙台店待ち40以上 本日年内最終日 ,2014,12,28,15,3,0,362,52
 @jirolian 仙台 開店前30人超え ,2014,12,28,10,51,0,362,52
 @jirolian 仙台25人 ,2014,12,21,18,38,0,355,51
 @jirolian 仙台はどうですか？ ,2014,11,26,18,47,3,330,47
 @jirolian 仙台 開店前に30人以上待ってる 1655 ,2014,11,22,16,59,6,326,46
 @jirolian 仙台 待ち20人位。1140 ,2014,11,21,11,40,5,325,46
 @jirolian 仙台、開店待ち15名 10:55現在 ,2014,11,15,10,57,6,319,45
 @jirolian 仙台　外待ち１０人くらい　1924 ,2014,11,11,19,24,2,315,45
 @jirolian 二郎仙台 38人待ち いま開店 ,2014,11,9,11,35,0,313,45
 @jirolian 今日月曜日で祝日ですが仙台店ってやっぱり休みなんでしょうか ,2014,11,3,12,23,1,307,44
 @jirolian ラーメン二郎守谷店には、会津、札幌、仙台などなどオープンポスターが貼ってあるけど、蒲田のは貼ってないよ ,2014,10,26,13,50,0,299,43
 【ラーメン二郎三十八箇所巡り二周目その三十六仙台店-1】11:15現在、シャッター待ち18。@jirolian ,2014,10,21,11,16,2,294,42
 @jirolian 仙台待ち28 ,2014,10,12,14,42,0,285,41
 @jirolian 仙台どーすか？ ,2014,10,8,18,29,3,281,40
 @jirolian 仙台は何人待ちですか？ ,2014,10,4,12,32,6,277,39
 @jirolian 仙台店外待ち32人。12:16 ,2014,10,1,12,16,3,274,39
 @jirolian 仙台３０人以上 ,2014,9,28,12,52,0,271,39
 @jirolian 今日は仙台やってますか？営業時間は通常でしょうか？ ,2014,9,23,12,44,2,266,38
 @jirolian 仙台 18人 ,2014,9,19,20,14,5,262,37
 @jirolian 仙台 不動産屋過ぎて交差点曲がりかけ ,2014,9,7,11,53,0,250,36
 @jirolian 新店舗情報。会津若松店9/21オープン。初日は100食限定。ソースは本店内貼り紙。東北2店目ですね！まだ仙台も行ってないのに…。 ,2014,9,6,17,8,6,249,35
 @jirolian 仙台 12:35 交差点 ,2014,8,31,12,38,0,243,35
 @jirolian 仙台　不動産前まで ,2014,8,26,12,4,2,238,34
 @jirolian 仙台開店前23人待ち 1121 ,2014,8,22,11,21,5,234,33
 @jirolian 仙台19人待ち 1230 ,2014,8,21,12,32,4,233,33
 @jirolian 仙台シャッター8人  10:50 ,2014,8,20,10,50,3,232,33
 @burstdizzy @jirolian 仙台は19までお盆休みですよー ,2014,8,16,17,15,6,228,32
 @jirolian 仙台どうですか？ ,2014,8,16,17,2,6,228,32
 @jirolian 仙台二郎開店前15人くらい 1107 ,2014,8,10,11,8,0,222,32
 @jirolian 仙台 お盆前最終日 並びは5人ほど 雨です10:50 ,2014,8,10,10,50,0,222,32
 @jirolian 夏休みまとめ②(訂正あったらおねがいします)  仙台11〜19 栃木16〜17 西台14〜17 守谷13〜20 野猿11〜18 ,2014,8,8,14,48,5,220,31
 @jirolian 二郎仙台店、不動産屋前まで列あり。1149 ,2014,8,3,11,49,0,215,31
 @jirolian ラーメン二郎仙台店、花火大会のため8/5臨時休業 ,2014,7,26,18,4,6,207,29
 @jirolian 仙台 18:35 待なし ,2014,7,25,18,39,5,206,29
 @jirolian 仙台店 開店前 並び30名 1114 ,2014,7,20,11,14,0,201,29
 @jirolian 仙台店待ち20      2030 ,2014,7,18,20,32,5,199,28
 @jirolian 仙台 18:40 約45人  混みすぎてて撤退 ,2014,7,8,18,44,2,189,27
 @jirolian 仙台 明日7/6臨時休業 張り紙あり ,2014,7,5,19,3,6,186,26
 @jirolian 仙台 開店前25人 1641 ,2014,7,5,16,41,6,186,26
 @jirolian 仙台 11:15  15人ほど 土曜日のこの時間にしては少ないの 天気はくもり。 ,2014,7,5,11,16,6,186,26
 @jirolian 仙台 19:25 待ち13 麺豚11 ,2014,6,29,19,28,0,180,26
 @jirolian 仙台 14:45 待ち0 ,2014,6,29,14,48,0,180,26
 @jirolian 仙台28人待ち ,2014,6,22,17,38,0,173,25
 @jirolian 仕事で仙台来たが、かなり待ちそう！1時からの会議遅れなので断念（≧∇≦） ,2014,6,21,11,36,6,172,24
 @jirolian 仙台店まもなく開店 待ち40人強 ,2014,6,21,11,33,6,172,24
 @jirolian 仙台 つけ麺は現在のところ、平日昼のみの限定だそうです。 ,2014,6,21,11,26,6,172,24
 @jirolian 仙台二郎、今日は昼のみつけ麺をやるとのこと。1128現在10人。 ,2014,6,18,11,28,3,169,24
 @jirolian  二郎仙台店、本日昼限定でツケあるそうです(100円) ソースはメガネのにーちゃん ,2014,6,18,11,27,3,169,24
 @jirolian 仙台二郎、1115開店待ち8人です。 ,2014,6,18,11,16,3,169,24
 .@jirolian 仙台二郎、約20人待ち ,2014,6,3,11,31,2,154,22
 @jirolian 仙台店 1442 待ち4 ,2014,5,25,14,42,0,145,21
 @jirolian 仙台 本日営業終了後豚販売予定 ソースはメルマガ ,2014,5,21,17,59,3,141,20
 @jirolian 仙台1704 20人 ,2014,5,13,17,4,2,133,19
 @jirolian 仙台25人待ち 1150 ,2014,5,11,11,50,0,131,19
 @jirolian 仙台26人待ち 1757 ,2014,5,10,17,57,6,130,18
 @jirolian 仙台店シャッター待ち ざっと40人 1133 pic.twitter.com/yqSUOLgr50 ,2014,5,10,11,33,6,130,18
 @jirolian 仙台待ちなしで食えますよー 13:06 ,2014,5,9,13,6,5,129,18
 @jirolian 仙台二郎20分前12人待ち。 ,2014,5,7,11,10,3,127,18
 @jirolian 仙台二郎 開店30分前で30人目前です。 ,2014,5,3,11,5,6,123,17
 @jirolian 仙台二郎、開店前待ち4人(10:30) ,2014,5,3,10,31,6,123,17
 @jirolian  本日二郎仙台店にてカネシを持ち帰ろうとするけしからん輩がいらっしゃいました ダメ、絶対。 ,2014,5,2,12,37,5,122,17
 @jirolian 仙台シャッター38人待ち 11:18 ,2014,5,2,11,18,5,122,17
 @jirolian 仙台、20人以上(´･ω･｀)ﾉｼ ,2014,4,29,11,1,2,119,17
 @jirolian 仙台店開店前待ち30人強 1108 ,2014,4,26,11,8,6,116,16
 @jirolian 仙台 19:00 45 ,2014,4,23,19,4,3,113,16
 @jirolian 仙台 14 ,2014,4,17,18,31,4,107,15
 @jirolian 仙台 19:35 待ち40 寒い ,2014,4,13,19,38,0,103,15
 @jirolian 仙台、開店前、10人 ,2014,4,12,11,11,6,102,14
 @jirolian ラーメン二郎仙台店。 開店前すでに並んでる！！！ ,2014,4,6,11,12,0,96,14
 @jirolian ラーメン二郎仙台店 12:15開店でございます 大変お待ちいたしました ,2014,3,28,12,16,5,87,12
 @jirolian  二郎仙台店  ガス機器不調の為開店遅延中 現在修理中とのこと ,2014,3,28,11,44,5,87,12
 @jirolian 仙台店待ち25人       1225 ,2014,3,23,12,28,0,82,12
 @jirolian 仙台店30人弱  2010 ,2014,3,22,20,12,6,81,11
 @jirolian  明日の祝日は通常営業でございますので、御注意ください  基本的に祝日は通常営業でございます 祝日が通し営業と思われてるお客様がたくさんいらっしゃって、昼営業後にお断りする事が多く、悲しいです 祝日は通常営業でございます ラーメン二郎仙台店 ,2014,3,20,15,34,4,79,11
 @jirolian 仙台二郎 12時26分 14人まち♪ ,2014,3,19,12,27,3,78,11
 @jirolian 仙台店待ち5人  1850 ,2014,3,8,18,50,6,67,9
 @jirolian 仙台二郎 外待ち11人 1400 ,2014,3,7,14,2,5,66,9
 @jirolian 仙台 3月2日の日曜日は臨休とのこと。メルマガより。 ,2014,3,1,13,53,6,60,8
 @jirolian 仙台店 店外ならび10名 ,2014,2,25,12,14,2,56,8
 @jirolian 仙台、自分含めて待ち6 ,2014,2,22,18,51,6,53,7
 @jirolian 仙台 待ちなし空席なし1351 ,2014,2,19,13,51,3,50,7
 @jirolian 10:00現在の臨休まとめ 立川、相模大野、仙台、桜台、藤沢湘南、京成大久保、神保町、めじろ台、栃木街道、関内、野猿昼の部（夜は別途連絡）三田本店（昼夜ともに不明、現時点で開店してない） ,2014,2,15,10,2,6,46,6
 @jirolian  こんにちは！ ラーメン二郎仙台店です！  本日キムチやります。食券と共に50円置いて下さいませ。 宜しくお願い致します！  今日は2月14日。そうです。ただの平日です。 御来店お待ちしております。 ,2014,2,14,15,7,5,45,6
 @jirolian 仙台 開店 不動産屋前まで列あり 助手の日でしょうか、開店時店長不在 1139 ,2014,2,11,11,40,2,42,6
 @jirolian 仙台 1108 並び12人ほど。雪、傘持って ,2014,2,8,11,9,6,39,5
 @jirolian  ラーメン二郎仙台店 材料費高騰アンド消費税増税に際し値上がり検討中。 小ラーメン680～700円で検討中 値上がりの際に開始しようか検討中のキムチ本日50円でやるそうです。 食券の横に現金で置いてください。 ソースメルマガ ,2014,2,5,15,43,3,36,5
 @jirolian 仙台待ち12くらい ,2014,1,31,18,44,5,31,4
 @jirolian 仙台、15人くらい ,2014,1,22,17,28,3,22,3
 @jirolian 仙台店麺切れ終了  1950 ,2014,1,12,19,52,0,12,2
 @jirolian 仙台店待ち30人強      1945 ,2014,1,12,19,45,0,12,2
 @jirolian 仙台35人 1225 ,2014,1,12,12,24,0,12,2
 @jirolian 仙台店待ち40くらい     1845 ,2014,1,11,18,47,6,11,1
 @jirolian 仙台 開店前 晴れ 15名ほどの待ち 11:00 ,2014,1,11,11,0,6,11,1
 @jirolian  あけましておめでとうございます！ 今年も宜しくお願い致します！ 本日より通常営業しております！  正月で4キロ太った店主が頑張ってラーメンを作っております。御来店お待ちしております。m(_ _)m ラーメン二郎仙台店 ,2014,1,7,19,30,2,7,1
 @jirolian 仙台本日より営業 40人待ち 豚ありませんでした ,2014,1,7,12,7,2,7,1
 @jirolian 仙台 7日から営業  ところで有名ブログが更新やめるみたいで残念 ,2014,1,1,21,46,3,1,0
 @jirolian 現在の仙台店どんな感じですか？ ,2013,12,29,13,12,0,363,52
 @jirolian 仙台 開店前 待ち40人以上 不動産屋越え 年内最終日です。11:17 ,2013,12,29,11,18,0,363,52
 @jirolian やっぱり仙台まできて黙って帰れないので30人くらいの列にならんでます。が、 先に食券を買うとか、何だかわからんルールがある様で、並びがグチャグチャ… 割り込む奴もいるし、食べる前にガッカリ感有り。 ,2013,12,27,19,12,5,361,51
 @jirolian 仙台二郎外待ち40人位、 凄い並んでます。 自分は仙台に出張にきててこれから仕事なので食べれません… 隣の100円ローソンで缶コーヒー買って退散なんで、超さみしい。。。 ,2013,12,26,12,4,4,360,51
 @jirolian [二郎行列チェッカー]  仙台店 25人ほど 待ち ,2013,12,25,12,1,3,359,51
 @jirolian [二郎行列チェッカー]  仙台店 開店20分前 8人 待ち ,2013,12,25,11,10,3,359,51
 @jirolian 仙台外待ちなしですよ クリスマス万歳 ,2013,12,24,19,0,2,358,51
 @jirolian 仙台二郎からのメルマガです。 年内最終日は 29日(日)の11時30分～17時までです。 閉店後、麺と豚の販売を致します。 麺が1玉(300g)、100円 豚が1500円です。　年内最後には麺と豚が買えるようです。 ,2013,12,23,18,41,1,357,51
 @jirolian 仙台店今日はお休みとのことです ,2013,12,23,11,41,1,357,51
 @jirolian 仙台26人11:50 ,2013,12,21,11,50,6,355,50
 @jirolian 年末の仙台二郎はどんな感じですか？ ,2013,12,19,20,56,4,353,50
 @jirolian 仙台店から「ひまなう」のMLがｗｗｗ ,2013,12,14,19,58,6,348,49
 @jirolian 仙台店 並び17人 1119 ,2013,12,12,11,19,4,346,49
 @jirolian 仙台35 1135 ,2013,12,11,11,36,3,345,49
 @jirolian 仙台二郎　外15　1352 ,2013,11,27,13,52,3,331,47
 @jirolian [二郎行列チェッカー]  仙台店 約30人 待ち ,2013,11,26,13,16,2,330,47
 @jirolian 仙台本日営業終了です ,2013,11,24,20,1,0,328,47
 カウントお疲れ様ですw@cubaapplehavana: @jirolian 仙台 13:20 68” ,2013,11,24,13,33,0,328,47
 @jirolian 仙台 13:20 68 ,2013,11,24,13,20,0,328,47
 ふぁっ！？@cubaapplehavana: @jirolian 仙台 12:40 55人以上 交差点折れ曲がって並んでいるのでその先に何人いるかは不明” ,2013,11,24,13,6,0,328,47
 @jirolian 仙台 12:40 55人以上 交差点折れ曲がって並んでいるのでその先に何人いるかは不明 ,2013,11,24,12,44,0,328,47
 @jirolian 仙台店、外待ち35くらい。12:30 ,2013,11,16,12,30,6,320,45
 @jirolian 仙台 開店前 20名ほど 10:56 ,2013,11,16,10,56,6,320,45
 @jirolian 仙台店22人待ち 1255 ,2013,11,15,12,55,5,319,45
 @jirolian 仙台開店前30人待ち ,2013,11,10,11,36,0,314,45
 @jirolian 仙台店待ち28人 1908 ,2013,11,3,19,9,0,307,44
 @jirolian 仙台店待ち22  1820 ,2013,11,2,18,24,6,306,43
 @jirolian 仙台10人 ,2013,11,2,10,57,6,306,43
 @jirolian 仙台15人 開店15分前 ,2013,10,29,11,15,2,302,43
