month_sin,month_cos,week_sin,week_cos,today_is_holiday,tomorrow_is_holiday,minute_of_day,temp_h,temp_l,weat_sun,weat_cloud,weat_rain,weat_snow,weat_light,weat_storm
-0.8919813464595487,0.45207220393230374,-0.7818314824680299,0.6234898018587334,0,0,0.18888888888888888,16.7,11.5,0,1,0,0,0,0
-0.8996308696522434,0.43665123195606387,-0.9749279121818235,-0.2225209339563146,0,0,0.19027777777777777,18.5,9.6,1,0,0,0,0,0
-0.8996308696522434,0.43665123195606387,-0.9749279121818235,-0.2225209339563146,0,0,0.14305555555555555,18.5,9.6,1,0,0,0,0,0
-0.9209712877166347,0.38963044953078774,0.9749279121818236,-0.22252093395631434,0,0,0.09861111111111111,17.2,9.2,1,0,0,0,0,0
-0.9338372288229252,0.35769823883312546,0.0,1.0,0,0,0.7944444444444444,17.8,14.3,0,0,1,0,0,0
-0.9338372288229252,0.35769823883312546,0.0,1.0,0,0,0.06111111111111111,17.8,14.3,0,0,1,0,0,0
-0.9398560579418953,0.341570769167856,-0.7818314824680299,0.6234898018587334,0,0,0.7194444444444444,16.9,13.9,0,1,1,0,0,0
-0.9455963874271428,0.3253420847119795,-0.9749279121818235,-0.2225209339563146,0,0,0.1,14.1,10.1,0,0,1,0,0,0
-0.9562348265919058,0.2926003356333479,0.43388373911755823,-0.900968867902419,0,0,0.1,15.6,10.3,1,1,0,0,0,0
-0.9611297838723007,0.27609697309746883,0.9749279121818236,-0.22252093395631434,0,0,0.7777777777777778,19.2,10.9,1,1,0,0,0,0
-0.9611297838723007,0.27609697309746883,0.9749279121818236,-0.22252093395631434,0,0,0.26805555555555555,19.2,10.9,1,1,0,0,0,0
-0.9741004551724206,0.22611568550828803,-0.7818314824680299,0.6234898018587334,0,0,0.11944444444444445,16.2,11.7,0,1,1,0,0,0
-0.9778483415056567,0.20931464596304886,-0.9749279121818235,-0.2225209339563146,0,0,0.15,16.2,12.0,1,1,1,0,0,0
-0.9922222094179324,0.12447926388678869,0.0,1.0,0,1,0.7208333333333333,23.0,14.9,1,1,0,0,0,0
-0.994217906893952,0.10738134666416306,-0.7818314824680299,0.6234898018587334,0,0,0.09305555555555556,19.2,15.8,0,1,1,0,0,0
-0.9959189961471792,0.09025161003104071,-0.9749279121818235,-0.2225209339563146,0,0,0.3138888888888889,18.5,11.4,0,1,0,0,0,0
-0.9959189961471792,0.09025161003104071,-0.9749279121818235,-0.2225209339563146,0,0,0.30972222222222223,18.5,11.4,0,1,0,0,0,0
-0.9959189961471792,0.09025161003104071,-0.9749279121818235,-0.2225209339563146,0,0,0.2763888888888889,18.5,11.4,0,1,0,0,0,0
-0.9973249731081555,0.07309512989807776,-0.433883739117558,-0.9009688679024191,0,0,0.2361111111111111,19.4,10.2,1,1,0,0,0,0
-0.9992500112396835,0.03872228089217399,0.9749279121818236,-0.22252093395631434,0,0,0.7319444444444444,26.8,15.3,1,1,0,0,0,0
-0.9992500112396835,0.03872228089217399,0.9749279121818236,-0.22252093395631434,0,0,0.33055555555555555,26.8,15.3,1,1,0,0,0,0
-0.9992500112396835,0.03872228089217399,0.9749279121818236,-0.22252093395631434,0,0,0.09027777777777778,26.8,15.3,1,1,0,0,0,0
-0.9999166586547379,-0.012910296075008843,-0.7818314824680299,0.6234898018587334,0,0,0.7375,25.4,13.8,1,1,0,0,0,0
-0.9999166586547379,-0.012910296075008843,-0.7818314824680299,0.6234898018587334,0,0,0.3013888888888889,25.4,13.8,1,1,0,0,0,0
-0.9999166586547379,-0.012910296075008843,-0.7818314824680299,0.6234898018587334,0,0,0.08194444444444444,25.4,13.8,1,1,0,0,0,0
-0.9995462806873573,-0.03012030484690836,-0.9749279121818235,-0.2225209339563146,0,0,0.23472222222222222,21.6,10.7,1,1,0,0,0,0
-0.9988797155850335,-0.047321388322432316,-0.433883739117558,-0.9009688679024191,0,0,0.2861111111111111,22.4,12.5,0,1,1,0,0,0
-0.9979171608653922,-0.06450844944931625,0.43388373911755823,-0.900968867902419,0,0,0.6763888888888889,26.4,17.6,1,1,0,0,0,0
-0.9932568492674143,-0.11593459959550065,0.0,1.0,0,0,0.22361111111111112,26.4,16.0,1,1,0,0,0,0
-0.9886775902323404,-0.15005539834465262,-0.9749279121818235,-0.2225209339563146,0,1,0.0875,23.9,14.7,1,1,0,0,0,0
-0.9829265519799822,-0.1839983516576799,0.43388373911755823,-0.900968867902419,0,0,0.18472222222222223,27.6,18.4,0,1,1,0,0,0
-0.9796136916454901,-0.2008905551306353,0.9749279121818236,-0.22252093395631434,0,0,0.2763888888888889,27.9,17.4,1,0,0,0,0,0
-0.9796136916454901,-0.2008905551306353,0.9749279121818236,-0.22252093395631434,0,0,0.22361111111111112,27.9,17.4,1,0,0,0,0,0
-0.9679377830240642,-0.25119006388481957,-0.7818314824680299,0.6234898018587334,0,0,0.21805555555555556,21.0,16.4,0,1,1,0,0,0
-0.9634705485641486,-0.26781430516217486,-0.9749279121818235,-0.2225209339563146,0,0,0.625,24.4,16.7,1,1,0,0,0,0
-0.9634705485641486,-0.26781430516217486,-0.9749279121818235,-0.2225209339563146,0,0,0.5625,24.4,16.7,1,1,0,0,0,0
-0.9634705485641486,-0.26781430516217486,-0.9749279121818235,-0.2225209339563146,0,0,0.34305555555555556,24.4,16.7,1,1,0,0,0,0
-0.9587178169872964,-0.2843591872810036,-0.433883739117558,-0.9009688679024191,0,0,0.35,27.5,17.6,1,1,0,0,0,0
-0.9483615800121716,-0.3171912885891059,0.9749279121818236,-0.22252093395631434,0,0,0.33055555555555555,28.2,20.6,1,1,1,0,0,0
-0.9307239310379793,-0.3657225234972692,-0.7818314824680299,0.6234898018587334,0,0,0.2875,28.7,16.7,1,0,0,0,0,0
-0.9242907221930934,-0.3816892202666586,-0.9749279121818235,-0.2225209339563146,0,0,0.17222222222222222,28.9,18.6,1,1,0,0,0,0
-0.9175836260593935,-0.39754281428255656,-0.433883739117558,-0.9009688679024191,0,0,0.7180555555555556,22.2,18.7,0,1,1,0,0,0
-0.9175836260593935,-0.39754281428255656,-0.433883739117558,-0.9009688679024191,0,0,0.2833333333333333,22.2,18.7,0,1,1,0,0,0
-0.9175836260593935,-0.39754281428255656,-0.433883739117558,-0.9009688679024191,0,0,0.12222222222222222,22.2,18.7,0,1,1,0,0,0
-0.9033558023246842,-0.4288919379124841,0.9749279121818236,-0.22252093395631434,0,0,0.6486111111111111,25.7,16.8,1,1,0,0,0,0
